,id,content,date,Time,Date,negative_prob,positive_prob,outcome
43,9.61672e+17,i will be meeting with henry kissinger at 145pm will be discussing north korea china and the middle east,2018-02-08 15:44:00,15:44:00,2018-02-08,0.03082629,0.96917367,1
44,9.65203e+17,i never said russia did not meddle in the election i said it may be russia or china or another country or group or it may be a 400 pound genius sitting in bed and playing with his computer the russian hoax was that the trump campaign colluded with russia  it never did,2018-02-18 09:33:00,09:33:00,2018-02-18,0.9614027,0.038597252,-1
45,9.71403e+17,china has been asked to develop a plan for the year of a one billion dollar reduction in their massive trade deficit with the united states our relationship with china has been a very good one and we look forward to seeing what ideas they come back with we must act soon,2018-03-07 12:10:00,12:10:00,2018-03-07,0.00014056078,0.99985945,1
46,9.72506e+17,chinese president xi jinping and i spoke at length about the meeting with kim jong un of north korea president xi told me he appreciates that the us is working to solve the problem diplomatically rather than going with the ominous alternative china continues to be helpful,2018-03-10 13:15:00,13:15:00,2018-03-10,0.9914664,0.00853356,-1
47,9.78939e+17,received message last night from xi jinping of china that his meeting with kim jong un went very well and that kim looks forward to his meeting with me in the meantime and unfortunately maximum sanctions and pressure must be maintained at all cost,2018-03-28 08:16:00,08:16:00,2018-03-28,0.00066926115,0.99933076,1
48,9.81492e+17,we are not in a trade war with china that war was lost many years ago by the foolish or incompetent people who represented the us now we have a trade deficit of 500 billion a year with intellectual property theft of another 300 billion we cannot let this continue,2018-04-04 09:22:00,09:22:00,2018-04-04,0.65395564,0.34604442,-1
49,9.81882e+17,the fake news washington post amazons chief lobbyist has another of many phony headlines trump defiant as china adds trade penalties wrong should read trump defiant as us adds trade penalties will end barriers and massive ip theft typically bad reporting,2018-04-05 11:10:00,11:10:00,2018-04-05,0.0005828933,0.99941707,1
50,9.82265e+17,china which is a great economic power is considered a developing nation within the world trade organization they therefore get tremendous perks and advantages especially over the us does anybody think this is fair we were badly represented the wto is unfair to us,2018-04-06 12:32:00,12:32:00,2018-04-06,0.00023786015,0.9997621,1
51,9.8268e+17,the united states hasnt had a trade surplus with china in 40 years they must end unfair trade take down barriers and charge only reciprocal tariffs the us is losing 500 billion a year and has been losing billions of dollars for decades cannot continue,2018-04-07 16:03:00,16:03:00,2018-04-07,0.022612816,0.97738713,1
52,9.82954e+17,president xi and i will always be friends no matter what happens with our dispute on trade china will take down its trade barriers because it is the right thing to do taxes will become reciprocal  a deal will be made on intellectual property great future for both countries,2018-04-08 10:12:00,10:12:00,2018-04-08,0.13839637,0.8616036,1
